City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,-14.72,66,3,9.0,RU,1734756355
1,port-aux-francais,-49.35,70.2167,4.02,81,95,16.16,TF,1734756356
2,gundlupet,11.8,76.6833,24.98,62,100,0.55,IN,1734756357
3,charlottetown,46.2352,-63.1267,-0.68,77,100,7.15,CA,1734756147
4,oum hadjer,13.2954,19.6966,17.92,32,16,3.87,TD,1734756359
5,yellowknife,62.456,-114.3525,-16.99,97,75,2.57,CA,1734756360
6,papatowai,-46.5619,169.4708,12.83,97,100,1.56,NZ,1734756361
7,grytviken,-54.2811,-36.5092,1.0,67,1,2.74,GS,1734756362
8,el calafate,-50.3408,-72.2768,6.69,65,86,3.98,AR,1734756346
9,longyearbyen,78.2186,15.6401,-4.09,63,40,6.17,SJ,1734756364
10,edinburgh of the seven seas,-37.0676,-12.3116,17.22,95,100,7.33,SH,1734756365
11,hope mills,34.9704,-78.9453,7.99,88,40,2.06,US,1734756366
12,fort bragg,35.139,-79.006,7.75,85,0,2.57,US,1734756367
13,maxixe,-23.8597,35.3472,26.9,94,40,0.0,MZ,1734756369
14,tchintabaraden,15.8969,5.7985,12.27,40,0,5.32,NE,1734756370
15,sosnogorsk,63.6023,53.8817,-8.4,93,100,4.9,RU,1734756371
16,necochea,-38.5473,-58.7368,11.92,64,33,3.0,AR,1734756093
17,bethel,41.3712,-73.414,-0.53,82,79,1.34,US,1734756274
18,lospalos,-8.5186,127.0025,28.07,74,96,1.82,TL,1734756375
19,gurgentepe,40.7883,37.6017,0.29,60,1,5.2,TR,1734756376
20,mayna,54.1135,47.6231,0.87,97,100,7.04,RU,1734756377
21,bredasdorp,-34.5322,20.0403,18.45,75,100,4.44,ZA,1734756378
22,crane,31.3974,-102.3501,10.37,41,0,3.6,US,1734756379
23,chadan,51.2833,91.5833,-25.77,95,100,0.98,RU,1734756380
24,rongelap,11.1635,166.8941,27.44,81,4,8.83,MH,1734756381
25,tuba city,36.135,-111.2399,6.1,37,2,1.54,US,1734756383
26,brookings,44.3114,-96.7984,-9.97,84,100,4.63,US,1734756384
27,mournies,35.4764,24.0092,14.22,88,75,9.26,GR,1734756385
28,vila franca do campo,37.7167,-25.4333,13.23,73,96,3.73,PT,1734756386
29,puerto natales,-51.7236,-72.4875,4.94,89,76,2.94,CL,1734756178
30,urengoy,65.9667,78.3667,-23.61,100,87,2.25,RU,1734756208
31,feijo,-8.1642,-70.3536,23.57,93,65,1.1,BR,1734756389
32,bilibino,68.0546,166.4372,-30.95,89,86,1.12,RU,1734756390
33,chom thong,18.4174,98.6743,25.81,59,82,1.44,TH,1734756391
34,hawaiian paradise park,19.5933,-154.9731,23.73,94,20,1.54,US,1734756392
35,belsand,26.45,85.4,23.01,37,0,2.56,IN,1734756393
36,taulaga,-11.0553,-171.0883,28.58,75,83,5.41,AS,1734756395
37,avarua,-21.2078,-159.775,27.03,78,63,2.06,CK,1734756396
38,west island,-12.1568,96.8225,28.99,79,40,7.72,CC,1734756397
39,waitangi,-43.9535,-176.5597,15.35,97,20,6.32,NZ,1734756398
40,ribeira grande,38.5167,-28.7,16.54,79,100,5.81,PT,1734756399
41,celestun,20.8667,-90.4,22.4,67,100,4.17,MX,1734756400
42,lihue,21.9789,-159.3672,22.63,78,75,2.06,US,1734756401
43,laguna de perlas,12.3429,-83.6712,24.77,85,60,5.56,NI,1734756402
44,san blas,21.5167,-105.2667,21.46,86,3,0.23,MX,1734756403
45,traralgon,-38.1833,146.5333,25.42,24,36,4.04,AU,1734756278
46,stanley,54.868,-1.6985,7.01,82,40,5.14,GB,1734756405
47,manadhoo,5.7667,73.3833,27.35,78,97,6.66,MV,1734756406
48,port mathurin,-19.6833,63.4167,25.51,81,12,6.92,MU,1734756408
49,kalinkavichy,52.1323,29.3257,0.12,92,12,3.78,BY,1734756409
50,nishinoomote,30.7333,131.0,14.31,82,75,4.12,JP,1734756410
51,sandakan,5.8402,118.1179,27.82,94,40,1.03,MY,1734756411
52,ilam,26.9167,87.9167,18.19,54,26,2.94,NP,1734756412
53,trincomalee,8.5711,81.2335,28.08,73,98,1.91,LK,1734756413
54,rio grande,-32.035,-52.0986,18.99,74,20,8.53,BR,1734756364
55,kailua-kona,19.6406,-155.9956,25.98,77,40,2.57,US,1734756409
56,fuling,29.7022,107.3919,9.2,78,100,1.13,CN,1734756417
57,midvagur,62.0511,-7.1939,5.46,93,100,10.29,FO,1734756418
58,bojnurd,37.4747,57.329,-4.03,86,0,1.03,IR,1734756406
59,punta arenas,-53.15,-70.9167,8.06,71,75,4.63,CL,1734756365
60,quarai,-30.3875,-56.4514,21.1,55,1,4.27,BR,1734756421
61,albany,42.6001,-73.9662,-3.57,75,98,0.89,US,1734756422
62,santa vitoria do palmar,-33.5189,-53.3681,16.12,64,23,4.53,BR,1734756423
63,isafjordur,66.0755,-23.124,-1.05,95,100,0.71,IS,1734756424
64,pombas,17.1503,-25.0201,16.2,73,84,6.34,CV,1734756425
65,karratha,-20.7377,116.8463,39.16,34,13,5.93,AU,1734756426
66,pisco,-13.7,-76.2167,20.03,77,0,4.12,PE,1734756427
67,puerto deseado,-47.7503,-65.8938,10.19,54,100,4.0,AR,1734756377
68,ushuaia,-54.8,-68.3,4.81,70,40,5.14,AR,1734756274
69,enewetak,11.3474,162.3373,27.63,82,4,8.53,MH,1734756431
70,adamstown,-25.066,-130.1015,22.85,76,77,10.26,PN,1734756432
71,yeppoon,-23.1333,150.7333,25.43,65,100,8.46,AU,1734756433
72,antsiranana,-12.2787,49.2917,27.42,78,40,4.12,MG,1734756434
73,zaragoza,41.6561,-0.8773,8.25,67,20,8.75,ES,1734756368
74,kruisfontein,-34.0033,24.7314,19.39,76,9,0.85,ZA,1734756436
75,georgetown,5.4112,100.3354,30.97,55,20,4.12,MY,1734756437
76,sona,45.4388,10.8255,-1.49,69,0,2.57,IT,1734756438
77,lebu,-37.6167,-73.65,14.07,76,81,1.1,CL,1734756439
78,dul'durga,50.6761,113.5931,-10.36,65,11,0.77,RU,1734756440
79,invercargill,-46.4,168.35,13.34,98,100,1.34,NZ,1734756441
80,lompoc,34.6391,-120.4579,10.23,98,0,2.06,US,1734756443
81,lammi,61.0833,25.0167,-6.09,90,64,3.9,FI,1734756444
82,gannan,47.9147,123.5031,-9.57,77,25,3.41,CN,1734756445
83,khandyga,62.6667,135.6,-35.9,99,41,0.25,RU,1734756446
84,wailua homesteads,22.0669,-159.378,22.29,92,75,2.06,US,1734756447
85,iqaluit,63.7506,-68.5145,-23.15,70,75,1.03,CA,1734756448
86,college,64.8569,-147.8028,-23.03,74,40,0.0,US,1734756449
87,tanumah,27.1,44.1333,11.84,50,0,4.88,SA,1734756450
88,ancud,-41.8697,-73.8203,7.99,83,31,2.53,CL,1734756419
89,puerto baquerizo moreno,-0.9,-89.6,21.88,87,10,4.82,EC,1734756427
90,port elizabeth,-33.918,25.5701,21.29,92,20,3.09,ZA,1734756334
91,machico,32.7,-16.7667,16.35,66,40,5.66,PT,1734756455
92,dunedin,-45.8742,170.5036,14.23,98,100,2.13,NZ,1734756456
93,tiksi,71.6872,128.8694,-26.13,100,51,1.51,RU,1734756457
94,luderitz,-26.6481,15.1594,18.71,72,0,7.6,NA,1734756458
95,arteche,12.2645,125.4048,27.64,88,98,4.17,PH,1734756459
96,hermanus,-34.4187,19.2345,18.78,75,100,6.34,ZA,1734756460
97,buala,-8.145,159.5921,28.79,77,96,4.92,SB,1734756461
98,uturoa,-16.7333,-151.4333,27.12,77,41,5.61,PF,1734756462
99,pervomays'kyy,49.3874,36.2147,2.06,95,85,3.06,UA,1734756463
100,takoradi,4.8845,-1.7554,24.43,70,1,2.55,GH,1734756310
101,santo domingo de los colorados,-0.25,-79.15,20.68,99,100,0.69,EC,1734756197
102,jalalaqsi,3.3766,45.5996,24.79,70,31,6.15,SO,1734756466
103,zhangatas,43.5667,69.75,-6.2,85,14,0.24,KZ,1734756467
104,blackmans bay,-43.0167,147.3167,19.29,62,6,1.34,AU,1734756469
105,geraldton,-28.7667,114.6,34.23,36,0,9.26,AU,1734756470
106,qaqortoq,60.7167,-46.0333,-4.38,72,99,18.91,GL,1734756472
107,borogontsy,62.6683,131.1683,-37.41,99,49,0.65,RU,1734756474
108,lakeland,28.0395,-81.9498,11.59,88,0,0.89,US,1734755875
